ID,SMILES,Hydrogen absorption(uL/min)
Compound_1,CCCCCCCC(=O)OC/C=C(\C)/CC/C=C(\C)/C,76.5
Compound_2,CCCCCCCC/C=C\CCCCCCCC(=O)OC/C=C(\C)/CC/C=C(\C)/C,91.5
Compound_3,CCCCCCCC/C=C\CCCCCCCC(=O)OCC=CC1=CC=CC=C1,96
Compound_4,O=C(OCCCC)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,58.3
Compound_5,COC1=CC=C(/C=C/C(=O)OCC(CC)CCCC)C=C1,82.8
Compound_6,CCCCC/C=C\C/C=C\CCCCCCCC(OCC1CC=CCC1)=O,63
Compound_7,CCCCCCCC/C=C\CCCCCCCCOC(=O)C1=CC=CC=C1,71
Compound_8,O=C(OCCC(C)C)C=CC1=CC=C(OC)C=C1,63
Compound_9,CCCCC/C=C\C/C=C\CCCCCCCC(OCC=CC1=CC=CC=C1)=O,62.2
Compound_10,CCCCCCCC/C=C\CCCCCCCC(OC1C2C3C=CCC3C(C2)C1)=O,60.8
Compound_11,C=CC(OC1C2C3C=CCC3C(C1)C2)=O,31.8
Compound_12,C=CC(OCCOC1C2C3C=CCC3C(C1)C2)=O,42
Compound_13,O=C(C1C(C(OCCCCCCC(C)C)=O)CCCC1)OCCCCCCC(C)C,-17.8
Compound_14,CCCCCCCC/C=C/CCCCCCCC(OCCCCCCCCC(C)C)=O,57.5
Compound_15,CCCCCCCC/C=C/CCCCCCCC(OCCCCCCCC)=O,47
Compound_16,CCCCOC(CCCCCCC/C=C/CCCCCCCC)=O,61
Compound_17,CC(CCCCOC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)CC,25.8
Compound_18,CCCCC(CC)COC(=O)/C=C/C1=CC=CC=C1,76
Compound_19,CCCCCCOC(=O)c1ccccc1O,61.2
Compound_20,CC/C=C/CCOC(c1c(O)cccc1)=O,97.2
Compound_21,CCOC(=O)c1cnccc1,51
Compound_22,CC(C(OCCCCCCCCCCCC)=O)=C,71.3
Compound_23,CC(C(OCC(CC)CCCC)=O)=C,81.8
Compound_24,CC(C(OCCCCCCCCCCCCCC)=O)=C,43.5
Compound_25,CC(C(OCCCCCCCCCCCCCCCCCC)=O)=C,38.2
Compound_26,CC(COC(/C=C/c1ccccc1)=O)C,109.8
Compound_27,C=CCOC(=O)c1ccccc1C(=O)OCC=C,51.4
Compound_28,CCCCC(CC)COC(=O)C=CC1=CC=C(C=C1)OC,83
Compound_29,CCCCCC=CCC=CCCCCCCCC(=O)OCC(CC)CCCC,55.8
Compound_30,CCCCCCCCCCCC(=O)OCC(C)C,-19.8
Compound_31,CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,-18.5
Compound_32,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-16.25
Compound_33,CCCCCCCCCCCCCCCC(OCC(CC)CCCC)=O,-13.8
Compound_34,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,-12.2
Compound_35,CCCCC(CC)COC(/C=C\C(OCC(CC)CCCC)=O)=O,-13.8
Compound_36,CC(C)CCCCCCOC(=O)CCCCCC(C)C,-11
Compound_37,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,-13.5
Compound_38,CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCC,39.5
Compound_39,CCCCCCCCCOC(=O)C1=CC(=C(C=C1)C(=O)OCCCCCCCCC)C(=O)OCCCCCCCCC,18
Compound_40,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,25
Compound_41,CCCCCCC(=O)OCC(COC(=O)CCCCCC)(COC(=O)CCCCCC)COC(=O)CCCCCC,-10.5
Compound_42,CCCCC(CC)COC(CCCCCCC/C=C/CCCCCCCC)=O,68.5
Compound_43,O=C(CCCCC(=O)OCCCCCCCC)OCCCCCCCC,-22.79
Compound_44,O=C(CCCCCCC/C=C/CCCCCCCC)OCC(C)(COC(CCCCCCC/C=C/CCCCCCCC)=O)C,64.5
Compound_45,CCCCC(COC(CCCCCCCCCCCCCCCCC)=O)CC,-29.6
Compound_46,O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(CCCCCCC/C=C/CCCCCCCC)=O)(CC)COC(CCCCCCC/C=C/CCCCCCCC)=O,51
Compound_47,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,56
Compound_48,O(CC)C(CCCCCCC/C=C\C/C=C\CCCCC)=O,38
Compound_49,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,39.25
Compound_50,CCCCCCCC/C=C\CCCCCCCC(=O)OC,36.6
Compound_51,O(C)C(CCCCCCC/C=C\C/C=C\CCCCC)=O,23
Compound_52,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,34.8
Compound_53,CC(C)COC(CCCCCCC/C=C/CCCCCCCC)=O,66
Compound_54,CCCCC(CC)COC(=O)c1c(C(=O)OCC(CC)CCCC)cccc1,39.5
Compound_55,O=C(OCCCCCCCC)CCCCCCCCC(OCCCCCCCC)=O,-13.5
Compound_56,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,-10.5
