Model,Set,R2,RMSE,MAE,CV-Q2
MLR,train,0.925,9.497,7.704,0.715
MLR,test,0.862,15.586,12.891,
RR,train,0.922,9.681,7.945,0.781
RR,test,0.871,15.08,12.87,
KRR,train,0.956,7.296,5.849,0.784
KRR,test,0.895,13.621,11.197,
SVR,train,0.899,11.045,7.753,0.638
SVR,test,0.886,14.189,10.516,
GPR,train,0.985,4.187,3.281,0.675
GPR,test,0.895,13.596,10.732,
DT,train,0.953,7.544,5.512,0.822
DT,test,0.881,14.528,11.245,
RF,train,0.97,6.019,4.549,0.822
RF,test,0.903,13.067,10.443,
XGB,train,0.985,4.216,3.059,0.747
XGB,test,0.94,10.316,8.707,
